2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_CLOSE_WRITE, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log.3', wd=2, mask=IN_DELETE, cookie=0, name='mana_archive.log.3'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log.2', wd=2, mask=IN_MOVED_FROM, cookie=141898, name='mana_archive.log.2'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log.3', wd=2, mask=IN_MOVED_TO, cookie=141898, name='mana_archive.log.3'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log.1', wd=2, mask=IN_MOVED_FROM, cookie=141899, name='mana_archive.log.1'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log.2', wd=2, mask=IN_MOVED_TO, cookie=141899, name='mana_archive.log.2'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MOVED_FROM, cookie=141900, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log.1', wd=2, mask=IN_MOVED_TO, cookie=141900, name='mana_archive.log.1'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_CREATE, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_OPEN, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
2026-03-31 11:37:47 | DEBUG    | watchdog.observers.inotify_buffer | in-event <InotifyEvent: src_path=b'/home/jason/lab/mana-archive/logs/mana_archive.log', wd=2, mask=IN_MODIFY, cookie=0, name='mana_archive.log'>
